date 	event
2014-06-05	ISIL militants stormed the city of Samarra, Iraq, before being ousted by airstrikes mounted by the Iraqi military. According to army officials, 12 policemen, 80 ISIL militants and several civilians were killed. The Commander of the Nagshabandiya Movement, Khalil al-Hayeeti, was killed in a clash with government forces in Anbar province. Abu Abdulrahman al-Bilawi, the chief of the general military council for the Iraqi provinces of the Islamic state, was killed is Mosul by the Iraqi security forces.
2014-06-06	ISIL militants carried out multiple attacks in the city of Mosul, Iraq.
2014-06-07	ISIL militants took over the University of Anbar in Ramadi, Iraq, killed guards and held 1,300 students hostage, before being ousted by the Iraqi military.
2014-06-08	An ISIL bombing in Jalula killed 18 members of the Kurdish security forces. ISIL forces captured Hawija, Zab, Riyadh, Abbasi, Rashad and Yankaja near Kirkuk.
2014-06-09	Mosul fell to ISIL control. The militants seized control of government offices, the airport, and police stations. Militants also looted the Central Bank in Mosul, reportedly absconding with US$429 million. More than 500,000 people fled Mosul to escape ISIL, including 400 Christian families, nearly the entire Christian element of the population of Mosul. Mosul is a strategic city as it is at a crossroad between Syria and Iraq, and poses the threat of ISIL seizing control of oil production. At the same time, hundreds of Christian families fled from the Nineva Plains in face of the ISIL advance. 15 captured Iraqi soldiers were killed while captive by ISIL near Kirkuk.
2014-06-10	ISIL killed 670 Shia inmates of Badush prison in Mosul. The 4th-century Mar Behnam Monastery was seized by ISIL, which forced its monks to leave without taking anything with them. Sixty UN staff were evacuated from Baghdad to Jordan.
2014-06-11	ISIL seized the Turkish consulate in the Iraqi city of Mosul, and kidnapped the head of the diplomatic mission and several staff members. Baiji, Iraq was captured by ISIL forces, except for its surrounded oil refinery. Tikrit also fell to ISIL, which attacked Samarra as well, without succeeding in conquering it. 46 Indian nurses were stranded in Tikrit (they were released and flown back to India at the beginning of July)
2014-06-12	ISIL captured ten towns in Saladin Province and routed an Iraqi Border Patrol battalion heading towards Sinjar with 60 trucks. Some of the 4,000–11,000 cadets and soldiers who had been ordered to leave Camp Speicher base were captured by ISIL; of these 1,095–1,700 were killed over the next three days. Human Rights Watch issued a statement about the growing threat to civilians in Iraq. Twelve imams were killed in Mosul for refusing to swear loyalty to ISIL. The imam of the Grand Mosque of Mosul, Muhammad al-Mansuri, was killed for the same reason. ISIL laid siege to the town of Amirli, where 13,000 Turkmen civilians were trapped.
2014-06-14	The Iraqi Army recaptured the town of Al-Mutasim near Samarra. The bodies of 128 Iraqi soldiers and policemen who had been killed in the battle of Mosul were retrieved.
2014-06-15	ISIL militants captured the Iraqi city of Tal Afar, in the province of Nineveh, and its air base—18 ISIL militants, ten civilians and presumably a heavy number of defenders were killed—and also two villages in Adhaim. The Iraqi Air Force claimed to have killed 278 ISIL militants in airstrikes. Iraqi Army retook the town of Ishaqi, where the burned bodies of 12 policemen were found.
2014-06-16	ISIL ambushed a convoy of Shia militia and killed 28–29 Shia volunteers near Samarra. ISIL also captured Saqlawiyah and shot down a helicopter. Iraqi police killed 44 Sunni prisoners before retreating from Baqubah.
2014-06-17	The Iraqi Army recaptured the lost districts of Baqubah. Syrian rebels captured the Al-Qa'im border crossing from Iraqi forces. The bodies of 18 Iraqi soldiers, killed while captive, were found near Samarra.
2014-06-18	ISIL captured three villages in Salaheddin province; 20 civilians were killed during the fighting.
2014-06-19	ISIL captured the Al Muthanna Chemical Weapons Facility near Lake Tharthar.
2014-06-21	After the agreed desertion of 400 Iraqi soldiers, ISIL captured Iraq’s largest oil refinery in Baiji. Thousands of Shia militia members from all over Iraq rallied in a show of strength. Clashes between ISIL and allied Sunni militants left 17 dead in Hawija.
2014-06-22	One day after seizing the border crossing at Al-Qaim, a town in a province which borders Syria, ISIL forces captured the towns of Rawa, Ana, Huseiba and Rutba. An entire Iraqi Security Forces brigade was reportedly destroyed in the battles raging in the area. Two more border crossings, one with Syria—Al-Waleed—and one with Jordan—Turaibil,— were taken by ISIL. During the fighting 21 leaders of Iraqi towns in the area were killed.
2014-06-23	ISIL captured Tal Afar airport. Iraqi forces recaptured the Al-Waleed border crossing.
2014-06-24	The Syrian Air Force bombed ISIL positions in Iraq for the first time. Iraqi Prime Minister Nouri al-Maliki stated
2014-06-25	(1) Al-Nusra Front's branch in the Syrian town of al-Bukamal pledged loyalty to ISIL, thus bringing months of fighting between the two groups to a close. Syrian airstrikes and missile launches killed 50 and wounded 132 in Al Rutba.; (2) Prime Minister Nouri al-Maliki said that Iraq had purchased used Sukhoi fighter jets from Russia and Belarus to battle ISIL militants, after delays in the delivery of F-16 fighters purchased from the US. "[If] we had air cover, we would have averted what happened", he said.
2014-06-26	Iraq launched its first counterattack against ISIL, an airborne assault to seize back control of Tikrit University. ISIL captured the town of Mansouriyat al-Jabal with its four natural gas fields.
2014-06-27	The Iraqi Army reconquered Al-Alam and Mansouriyat al-Jabal.
2014-06-28	The Jerusalem Post reported that the Obama administration had requested US$500 million from Congress to use in the training and arming of "moderate" Syrian rebels fighting against the Syrian government, in order to counter the growing threat posed by ISIL in Syria and Iraq.
2014-06-29	ISIL announced the establishment of a new caliphate. Abu Bakr al-Baghdadi was appointed its caliph, and the group formally changed its name to the "Islamic State".
2014-06-30	Iraqi army recaptured the town of Mukayshifah, killing 40 ISIL members and capturing 13. Iraqi Army attempts to recapture Tikrit were repelled by ISIL, which lost 215 men according to Iraqi government sources.[citation needed]
2014-07-01	French intelligence services arrested a man suspected of planning an attack on French territory. He was back from Syria where he got trained with ISIS.
2014-07-02	Abu Bakr al-Baghdadi, the self-proclaimed caliph of the new "Islamic State" (ISIL), said that Muslims should unite to capture "Rome" in order to "own the world". He called on Muslims around the world to unite behind him as their leader.
2014-07-03	ISIL captured Syria's largest oilfield, the al-Omar oilfield, from al-Nusra Front, which put up no resistance to the attack. The Iraqi Army recaptured the town of Awja near Tikrit.
2014-07-07	ISIL abducted 11 civilians from the village of Samra near Tikrit for allegedly providing information to the Iraqi Army.
2014-07-08	A candidate in the April general election and a judge of the Misdemeanour Court were abducted by ISIL in Ninewa.
2014-07-09	ISIL kidnapped at least 60 former Iraqi Army officers in areas around Mosul.
2014-07-11	ISIL members killed about 700 Turkmen civilians in the village of Beshir.
2014-07-13	The bodies of 12 men, presumably killed while captive, were found in Tawakkul village northeast of Baquba.
2014-07-15	A new attempt by the Iraqi Army to recapture Tikrit was repelled; 52 Iraqi soldiers and 40 ISIL members were killed in the fighting.
2014-07-16	Forty-two captured Iraqi soldiers were killed by ISIL in Awenat, south of Tikrit.
2014-07-17	Syria's Shaer gas field in Homs Governorate was seized by ISIL. According to the Syrian Observatory for Human Rights (SOHR), at least 90 National Defence Force guards defending the field were killed, as were 21 ISIL fighters. The SOHR later put the death toll from the fighting and the killing of prisoners at 270 soldiers, militiamen and staff, and at least 40 ISIL fighters.
2014-07-19	ISIL claimed responsibility for a suicide bombing which killed 33 people and left more than 50 wounded. The explosion occurred in Baghdad's Kadhimiya district, which is the site of a major Shia shrine.
2014-07-22	the Sunni Imam Abdul Rahman al-Jobouri was killed in Baquba for having denounced ISIL.
2014-07-24	ISIL blew up the Mosque and tomb of the Prophet Yunus (Jonah) in Mosul, with no reported casualties. Residents in the area said that ISIL had erased a piece of Iraqi heritage. Jonah's tomb was also an important holy site in Jewish heritage.
2014-07-25	ISIL captures a Syrian 17th Division base near Raqqa and beheads several captured soldiers, whose heads are displayed in Raqqa. 32 jihadists and 42 Syrian Army members were overall killed on this day in clashes between ISIL and Syrian Army in Hasakeh, Raqqa and Aleppo provinces. The remains of 18 Iraqi policemen, presumably killed while captive, were found in Abbasiyah, south of Tikrit.
2014-07-26	ISIL blew up the Nabi Shiyt (Prophet Seth) shrine in Mosul. Sami al-Massoudi, deputy head of the Shia endowment agency which oversees holy sites, confirmed the destruction and added that ISIL had taken artefacts from the shrine. Syrian Army recaptured the Shaer gas field from ISIL.
2014-07-27	about 40 bodies, presumably of Iraqi soldiers killed while captive, were found in a ditch near Jumela village. ISIL abducted 20 young students and a Sufi Muslim leader in al-Muhamadiya Mosque in Mosul.
2014-07-28	To mark the Muslim holy festival of Eid al-Fitr, which ends the period of Ramadan, ISIL released a video showing graphic scenes of a large scale killing of captives.
2014-07-29	43 Shabak families were abducted by ISIL in villages near Mosul.
2014-08-01	The Indonesian National Counterterrorism Agency (BNPT (id)) declared ISIL a terrorist organisation.
2014-08-02	(1) The Iraqi Army confirmed that 37 loyalist fighters had died during combat with ISIL south of Baghdad and in Mosul. The Patriotic Union of Kurdistan (PUK) claimed that "hundreds" of ISIL militiamen had died in the action.; (2) ISIL and its al-Nusra Front allies invaded Lebanon in and around the town of Arsal, sparking a five-day battle with the Lebanese Army, which pushed ISIL near to the border with Syria. Over a 100 fighters were killed and scores of civilians were killed or wounded.
2014-08-03	ISIL fighters occupied the Iraqi city of Zumar and an oilfield in the north of Iraq, after a battle against Kurdish forces. Also the Yazidi city of Sinjar was captured, prompting a massacre of its inhabitants. More than 12 Yazidi children died of hunger, dehydration and heat on Jabar Sinjar. Ten Yazidi families fleeing from al-Qahtaniya area were attacked by ISIL, which killed the men and abducted women and children. 70 to 90 Yazidi men were shot by ISIL members in Qiniyeh village. 450–500 abducted Yazidi women and girls were taken to Tal Afar; hundreds more to Si Basha Khidri and then Ba'aj.
2014-08-04	ISIL attacked Jabal Sinjar, killed 30 Yazidi men and abducted a number of women. Two Yazidi children and some elderly or people with disabilities died on Jabal Sinjar. 60 more Yazidi men were killed in the village of Hardan, and their wives and daughters abducted. Other Yazidi women were abducted in other villages in the area. Yazidi community leaders stated that at lest 200 Yazidi had been killed in Sinjar and 60–70 near Ramadi Jabal.
2014-08-05	An ISIL offensive in the Sinjar area of northern Iraq had forced 30,000–50,000 Yazidis to flee into the mountains. They had been threatened with death if they refused conversion to Islam. A UN representative said that "a humanitarian tragedy is unfolding in Sinjar." (See Persecution of Yazidis by the Islamic State of Iraq and the Levant.) The number of Yazidi children who died of hunger and dehydratation on Jabal Sinjar reached 40.
2014-08-06	ISIL captured the town of Tal Keif. Between 3 and 6 August more than 50 Yazidi were killed near Dhola village, 100 in Khana Sor village, 250-300 in Hardan area, more than 200 between Adnaniya and Jazeera, dozens near al-Shimal village and on the road from Matu village to Jabal Sinjar, and more than 200 children had died from thirst, starvation and heat while fleeing to Jabal Sinjar; about 500 Yazidi women and children were abducted from Ba’aj and more than 200 from Tal Banat. Many of them were sold as sex slaves. More than 80,000 people, mostly Yazidi, fled Sinjar district.
2014-08-07	(1) ISIL took control of the town of Qaraqosh in the Iraqi province of Nineveh, which forced its large (50,000) Christian population to flee. Also the towns of Bartella, Tel Keppe, Karemlash and Makhmour fell to the ISIL on the same day. ISIL killed in Sinjar about 100 captive Shia Turkmen displaced from Tal Afar. A total of 200,000 Christian Assyrians fled from these cities and from villages in the Nineva plains.; (2) US President Obama authorised targeted airstrikes in Iraq against ISIL, along with airdrops of aid. The UK offered the US assistance with surveillance and refuelling, and planned humanitarian airdrops to Iraqi refugees.
2014-08-08	The US asserted that the systematic destruction of the Yazidi people by ISIL was genocide. The US military launched indefinite airstrikes targeting ISIL, with humanitarian aid support from the UK and France, in order to protect civilians in northern Iraq. ISIL had advanced to within 30 km of Erbil in northern Iraq. The UK is also considering joining the US in airstrikes.
2014-08-10	The Battle for Tabqa Air base, the last bastion for Syrian military forces in the Raqqah province, began. France's Foreign Minister Laurent Fabius said that Iraq's Kurds must be equipped to fight against ISIL and indicated that France would consider providing arms aid. ISIL militants buried an unknown number of Yazidi women and children alive, in an attack that killed 500 people, in what has been described as ongoing genocide in northern Iraq. Kurdish forces retook the towns of Makhmour and al-Gweir.
2014-08-11	The Arab League accused ISIL of committing crimes against humanity. The UK decided not to join the US in airstrikes and instead stepped up its humanitarian aid to refugees. The commander of the Sahwa militia in Hawija was abducted by ISIL.
2014-08-12	The parents of kidnapped American journalist James Foley received an email from his captors. The US announced that it would not extend its airstrikes against ISIL to areas outside northern Iraq, emphasising that the objective of the airstrikes was to protect US diplomats in Erbil. The US and the UK airdropped 60,000 litres of water and 75,000 meals for stranded refugees. The Vatican called on religious leaders of all denominations, particularly Muslim leaders, to unite and condemn the IS for what it described as "heinous crimes" and the use of religion to justify them. An Iraqi helicopter involved in the rescue of Yazidis on Mount Sinjar crashed near Sinjar, killing Major General Majid Ahmed Saadi and injuring 20 people, including Yazidi Member of Parliament Vian Dakhil and a New York times reporter.
2014-08-14	Kurdish Peshmerga forces and U.S. air strike broke the ISIL siege on Mount Sinjar, thus allowing tens of thousands of Yazidi refugees trapped there to escape. Nouri al-Maliki resigned from his position of Prime Minister of Iraq.
2014-08-15	The United Nations Security Council issued a resolution which condemned "the terrorist acts of ISIL and its violent extremist ideology, and its continued ... systematic abuses ... of human rights and violations of international humanitarian law". The entire male population of the Yazidi village of Khocho, up to 400 men, were shot by ISIL, and up to 1000 women and children were abducted. Up to 200 Yazidi men were reportledy killed for refusing conversion in Tal Afar prison. The bodies of 12 men abducted by ISIL were found in Tikrit.
2014-08-16	ISIL killed 80 Yazidis. The EU agreed to supply Kurdish forces with arms, and US military forces continued to attack ISIL in the area around Iraq's crucial Mosul Dam.
2014-08-17	The SOHR reported that ISIL had killed 700 members of the Syrian al-Shaitat tribe, mostly civilians, after clashes over the control of two oilfields in the region. The Syrian Air Force launched 26 airstrikes on Ar-Raqqah city and around al-Tabqa, killing at least 31 ISIL fighters and 8 civilians and wounding dozens of ISIL fighters and 10 civilians Including the strikes launched in Deir ez-Zor area, the air strikes were overall 40. Peshmerga troops, aided by the US air campaign, began an offensive to take back the Mosul Dam from ISIL, amid fears that the destruction of the dam might unleash a 65-foot wave of water that would engulf the city of Mosul and flood Baghdad.
2014-08-18	The Syrian Air Force launched another 20 airstrikes against ISIL positions in Raqqa, cutting off water supply to the city. Pope Francis, leader of the world's 1.2 billion Roman Catholics, said that the international community would be justified in stopping Islamist militants in Iraq. He also said that it should not be up to a single nation to decide how to intervene in the conflict.
2014-08-19	According to the SOHR, ISIL now has an army of more than 50,000 fighters in Syria. American journalist James Foley was beheaded by ISIL on video tape. After three days of fighting, Kurdish Peshmerga and Iraqi Army forces, helped by American air strikes, recaptured the Mosul Dam. An attempt by the Iraqi Army to recapture Tikrit was repelled by the ISIL forces.
2014-08-20	President Obama denounced the "brutal murder of Jim Foley by the terrorist group ISIL."
2014-08-21	The US military admitted that a covert rescue attempt involving US Special Operations forces had been made to rescue James Foley and other Americans held captive in Syria by ISIL. The ensuing gunfight resulted in one US soldier being injured. The rescue was unsuccessful, as the captives were not in the location targeted. This was the first known engagement by US ground forces with suspected ISIL militants. The US Defense Secretary warned that ISIL were tremendously well-funded, adding, "They have no standard of decency, of responsible human behaviour", and that they were an imminent threat to the US.
2014-08-22	The US is considering airstrikes on ISIL in Syria, which would draw US military forces directly into the Syrian Civil War, as President Obama develops a long-term strategy to defeat ISIL. As a reprisal for a car bombing which killed three militiamen, members of the Shi'ite al-Zarkoshi militia killed 73 Sunni civilians in the Musab bin Umair mosque.
2014-08-24	(1) ISIL forces captured Tabqa air base after two weeks of siege and fighting. A Syrian Mig-21 was destroyed. Overall, 346 ISIL fighters and 200-365 Syrian soldiers were killed in the battle for Tabqa, while 150d Syrian soldiers were reportedly captured and 700 managed to retreat.[citation needed] A Sheikh and a tribal leader were abducted by ISIL in Khuthrniya village in Iraq.; (2) 14 elderly Yazidi men were killed by ISIL in the Sheikh Mand Shrine, and the Jidala village Yazidi shrine was blown up.
2014-08-26	ISIL carried out a suicide attack in Baghdad killing 15 people and injuring 37 others.
2014-08-27	ISIL captured more than 20 soldiers in the farmlands of Tabqa,[citation needed] while 27 soldiers and 8 ISIL fighters were killed in fighting at the Athraya checkpoint in eastern Hama countryside. 160-250 Syrian soldiers captured at Tabqa air base were killed by ISIL between 27 and 28 August.
2014-08-28	ISIL beheaded a Lebanese Army sergeant whom they had kidnapped, Ali al-Sayyed. The group also beheaded a Kurdish Peshmerga fighter in response to Kurdistan's alliance with the United States. A Syrian air strike destroyed ISIL headquarters and killed six ISIL military leaders in the city of Mohasan.[citation needed] Another air strike killed or wounded dozens of ISIL militants near Baath Dam.
2014-08-29	UK Prime Minister David Cameron raised the UK's terror level to "severe" and committed to fight radical Islam "at home and abroad".
2014-08-31	Iraqi military forces supported by Shia militias and American airstrikes broke the two-month siege of the northern Iraqi town of Amerli by ISIL militants. 25 ISIL members were killed in the fight and 15 captured, while Iraqi losses were 16 killed, 6 killed while captive and 39 wounded. 19 captive Sunnis were killed by ISIL in Saadiya for refusing to swear allegiance. At the end of August the bodies of six truck drivers abducted by ISIL on 10 June and of at least 15 Iraqi soldiers captured and killed between 13 and 20 June were found in Suleiman Bek. German Federal Minister of Defence Ursula von der Leyen announced that Germany will send weapons to arm 4,000 Peshmerga fighters in Iraq fighting ISIL. The delivery will include 16,000 assault rifles, 40 machine guns, 240 rocket-propelled grenades, 500 MILAN anti-tank missiles with 30 launchers and 10,000 hand grenades, with a total value of around 70 million euros. In order to prevent an excessive accumulation of arms, the Bundeswehr seconded six liaison officers to Erbil.
2014-09-01	The Iraqi Army recaptured the town of Suleiman Bek and killed 23 Chechen ISIL militants. The German government's Cabinet decision to arm the Kurdish Peshmerga was ratified in the Bundestag by a "vast majority" of votes, after an emotional debate. The Yazidi villages of Kotan, Hareko and Kharag Shafrsky were set on fire by ISIL.
2014-09-02	ISIL released a video showing the beheading of American journalist Steven Sotloff. Kurdish Peshmerga recaptured from ISIL the town of Zumar. A hundred relatives of the cadets and soldiers killed at Camp Speicher in June broke into the Iraqi Parliament to ask for explanations.
2014-09-04	A member of ISIL issued a threat to President Vladimir Putin, vowing to oust him over his support of Bashar al-Assad's government. An ISIL self-appointed court sentenced to death and then ordered the killing of 14 men. Sheik Maisar Farman el-Waka, a candidate of the April general election was killed in public by ISIL in al-Houd village along with his two brothers. Another candidate of the parliamentary elections, Zaina Nouri Mullah Abdallah el-Ansi, was killed in Mosul.
2014-09-05	The German Bundeswehr dispatched the first of a series of cargo planes to Iraq, loaded with helmets, vests, radios, and infrared night-vision rifle scopes. After a stopover in Baghdad for inspection, the aircraft will deliver the equipment to the Kurdish fighters. Qassem Soleimani, Commander of the elite Iranian Revolutionary Guard Quds Force, has been to the Iraqi city of Amirli, to work with the United States in pushing back ISIL.
2014-09-07	the governor of Anbar province, Ahmad Khalaf al-Dulaimi, was seriously wounded by mortar fire in the newly retaken town of Barwana. ISIL killed 40 people in Mosul after trial by a self-appointed court. About 40 men were abducted from Tal Ali village for having burned ISIL flags after ISIL retreat from the village. The men were released some days later, after having been tortured.
2014-09-08	ISIL carried out a double suicide attack in a town north of Baghdad, killing nine people and wounding 70 others. An ISIL attack against the town of Duloeliyah killed at least 20 civilians and wounded 120 more. Nouri Al-Maliki was succeeded by Haider Al-Abadi as Prime Minister of Iraq.
2014-09-09	Peshmerga fighters discovered a mass grave containing the bodies of 14 civilians, presumably Yazidis. Another Imam was killed in Mosul for refusing to declare his fealty to ISIL.
2014-09-10	President Obama announced a new rollback policy and coalition in the Middle East after ISIL beheaded two American journalists and seized control of large portions of Syria and Iraq.
2014-09-13	UK humanitarian aid worker David Cawthorne Haines, whose life had been threatened by Mohammed Emwazi in the Steven Sotloff video, was purportedly beheaded in a video.
2014-09-14	A number of Algerian commanders of al-Qaeda in the Islamic Maghreb broke allegiance with al-Qaeda, swore loyalty to ISIL and created the group Jund al-Khilafah.
2014-09-15	The Battle of Suq al Ghazi ended with a US–Iraqi win.
2014-09-17	ISIL launched a major offensive to capture the YPG-controlled city of Kobani/Ayn al-Arab.
2014-09-18	The Australian Federal Police, Australian Security Intelligence Organisation, Queensland Police and New South Wales Police launched the largest counterterrorism operation in Australian history. The targets were ISIL-linked networks thought to be planning to launch mass-casualty attacks in populated areas. Fifteen people were arrested in the raids with one being charged with terrorism offenses.
2014-09-19	Four French air strikes had hit the town of Zumar, killing dozens of militants. Those were the first air strikes conducted by French Air Force in Irak.
2014-09-20	The hostages from the Turkish consulate in Mosul who had been captured on 11 June 2014 were released.
2014-09-21	(1) ISIL forces overran the Iraqi military base of Saqlawiyah and captured the towns of Saqlawiyah and Sicher; 155–370 or more Iraqi soldiers were killed in the attack, with 68–400 being captured.; (2) Official spokesman Abu Mohammad al-Adnani released a speech encouraging Muslims around the world to kill non-Muslims.
2014-09-22	(1) Two weeks after her abduction, Iraqi human rights activist Samira Salih al-Nuaimi was publicly executed by ISIL.; (2) Iraqi media stated that 300 Iraqi soldiers were killed by an ISIL chlorine gas attack in Saqlawiyah.
2014-09-23	Aerial operations began over Syria. Cruise missiles and precision-guided bombs struck ISIL targets in Syria, and military aircraft from Bahrain, Jordan, Saudi Arabia, Qatar, and the United Arab Emirates participated in the airstrikes against ISIL. The Syrian Observatory for Human Rights estimated that about 400 ISIL fighters died in the airstrikes. Nasr Al-Fahd, representing ISIL, issued a fatwa which was translated by Walid Shoebat. Shoebat claims the fatwa included murdering millions of Americans and Western Europeans.
2014-09-24	Jund al-Khilafah, an Algerian group affiliated to ISIL, beheaded French tourist Hervé Goudel, who had been kidnapped on 21 September, as a reprisal for French intervention against ISIL. A group of influential Muslim scholars publish an Open Letter to Baghdadi claiming al-Baghdadi's interpretation of the Quran is illegitimate.
2014-09-29	ISIL released a third video showing journalist John Cantlie. As in previous videos, Cantlie appears alone, wearing an orange prison uniform. The scripted video criticises US president Barack Obama's strategy of using airstrikes to defeat ISIL.
2014-09-30	(1) Kurdish Peshmerga forces recaptured the town and border crossing of Rabia.; (2) RAF jets launch first successful strikes against Islamic State in Iraq, destroying heavy weapon position and an armed pick-up truck.
2014-10-01	The town of Taza Kharmatho was retaken by Peshmerga and Iraqi Army forces, but remained uninhabitable, due to the booby traps that had been left by ISIL.
2014-10-02	The Turkish Parliament voted 298
2014-10-03	(1) Australian Prime Minister Tony Abbott announced that Australia would contribute eight F/A-18F Super Hornets to aid the war effort against Islamic extremists in Iraq. The aircraft join a KC-30A Tanker and an E-7A Wedgetail AEW&C aircraft already deployed.; (2) ISIL released a video showing the beheading of British aid worker Alan Henning and threatened American aid worker Peter Kassig.
2014-10-04	ISIL captured the Iraqi city of Kabisa. Two bombs killed seven people and wounded 18 in the towns of Tarmiyah and Husseiniya. An Iraqi officer and seven soldiers were killed in two ambushes in Diyala province in Iraq.
2014-10-05	A joint ISIL–al-Nusra invasion of Lebanon was beaten back by Hezbollah. 800 ISIL militants in Libya partially take over the Libyan town of Derna.
2014-10-07	The House of Commons of the Parliament of Canada voted 157
2014-10-08	Terrorists claiming to be "Islamic State in Gaza" took responsibility for an explosion in the French Cultural Centre in Gaza City. However, a group by the same name denied responsibility for the blast. The blast did not result in casualties. The incident was downplayed by Hamas as being a generator malfunction.
2014-10-10	Spanish Defence Minister Pedro Morenés announces that Spain will send 300 troops to Iraq in non-combat roles.
2014-10-11	Car bombings killed at least 38 people in Baghdad. Additionally, ISIL dispatched 10,000 fighters from Syria and Mosul to take over Baghdad. Also, Iraqi Army forces and Anbar tribesmen threatened to abandon their weapons if the US does not send in ground troops to halt ISIL's advance.
2014-10-12	Two improvised explosive devices killed General Ahmad Sadak al Dulaymi, chief of police of the Al Anbar province, and three others.
2014-10-14	ISIL forces captured the Iraqi city of Hīt, after the 300-strong Iraqi Army garrison abandoned its local base, and about 180,000 civilians fled the area. Five Tehrik-i-Taliban Pakistan leaders in Pakistan swore loyalty to ISIL, after fundamentalists in Egypt and Libya had done the same several days earlier. A suicide car bombing killed 25 people in Baghdad, including Iraqi Parliament member and deputy leader of the Badr Organisation Ahmed al-Khafaji; three others were killed by a roadside bomb. Reports spread about the formation of small Syrian groups which target and kill ISIL members in ISIL-controlled territory.
2014-10-15	The US anti-ISIL operation was named "Operation Inherent Resolve". The US launched 18 airstrikes against ISIL in Kobani. Forty-six captives were killed by ISIL in Mosul.
2014-10-16	By this date, ISIL had been driven out of most of Kobani. Four car bombings killed 36 people and wounded 98 in Baghdad Italian Defence Minister Roberta Pinotti announced that Italy would send 280 soldiers to train Kurdish fighters, along with two Predator drones and a KC-767 refuelling plane.
