date 	event
2015-03-05	It was reported that ISIL had destroyed the ancient Assyrian city of Nimrud and its archaeological site, claiming that the city and its extensive collection of related antiquities were blasphemous.
2015-03-06	It was reported that many ISIL foreign fighters and top leaders in Mosul and Tikrit were leaving with their families for Ar-Raqqah, Syria, after Iraqi began an offensive in Tikrit and news spread of the coming offensive to liberate Mosul. An Iraqi antiquities official confirmed ISIL's bulldozing of the ancient Assyrian city of Nimrud, a town founded in the thirteenth century BC, with unconfirmed amounts of damage. Iraqi forces and allies searched searched houses in Garma. 47 ISIL fighters and 5 Iraqi fighters were killed in Garma.
2015-03-07	(1) Iraqi forces took control of the town of Khan al Baghdadi, with the support of coalition airstrikes.; (2) Boko Haram declared allegiance to ISIL, although some experts believe that the pledge is largely symbolic.
2015-03-08	Mohammed Emwazi, also known as "Jihadi John", apologized to his family for the shame and scrutiny he brought on them after his identity was unmasked.
2015-03-09	Iraqi forces and allies recaptured Al-Alam, Iraq. Infighting in ISIL left nine ISIL members dead near al-Bab city. Coalition airstrikes killed and destroyed ISIL units, including workers at an oil-pumping station in the Deir ez-Zor province of Syria.
2015-03-10	ISIL has reportedly destroyed the 10th-century Assyrian monastery of St. George and a Chaldean Catholic seminary near Mosul.
2015-03-11	ISIL threatened on loudspeakers to behead any civilian who tried to leave Mosul. The announcement came one day after US planes dropped paper pamphlets into the city, warning of an imminent military confrontation and advising all civilians to evacuate the city.
2015-03-12	ISIL's spokesman Abu Mohammad al-Adnani released an audiotape in which he welcomed a pledge of allegiance made to ISIL by Boko Haram; he described it as an expansion of the group's caliphate to West Africa. Jamaat-ul-Ahrar left ISIL and rejoined Tehrik-i-Taliban.
2015-03-13	A group of militants from the Islamic Movement of Uzbekistan in Northern Afghanistan swore allegiance to ISIL.
2015-03-15	Fighting around the city of Tikrit led to the near-complete destruction of the tomb of Saddam Hussein located in Al-Awja. The former President's body had been moved from the mausoleum and taken to an unknown location last year, according to the local Sunni population.
2015-03-18	(1) Abu Bakr al-Baghdadi was reportedly seriously wounded in a Coalition airstrike at the al-Baaj District, in the Nineveh Governorate, near the Syrian border. It was reported that his wounds were so serious that the top ISIL leaders had a meeting to discuss who would replace him if he died.; (2) ISIS has claimed responsibility for the terrorist attack at a museum in Tunisia that killed 21 people and injured dozens more.
2015-03-20	ISIL took responsibility for a quadruple suicide bombing, carried out in Sana'a mosque in Yemen, which killed nearly 150 people.
2015-03-26	From 25 to 26 March, US-led Coalition airstrikes were reported to have killed over 150 ISIL militants in Mosul.
2015-03-30	The senior Sharia official of Ansar al-Sharia in Libya, Abdullah al-Libi, defected to ISIL, along with many other Ansar al-Sharia militants.
2015-03-31	Iraqi forces recaptured the city center of Tikrit, with pockets of ISIL resistance consisting of 400 ISIL fighters remaining.
2015-04-08	(1) The Canadian military conducted its first airstrike on an ISIS target in Syria. Two Canadian CF-18s were involved in the airstrike against an ISIS garrison near Raqqa. A total of 10 coalition aircraft, including six from the U.S., took part in the airstrike.; (2) Building on their advances in the Saladin Governorate, Iraqi forces launched an offensive to retake the Anbar Governorate from ISIL control, beginning with an offensive in the region around east Ramadi, backed by Coalition aircraft. In retaliation, ISIL executed 300 people in the western Anbar Province. It was also reported that 10,000 Sunni tribal fighters would participate in the Anbar offensive. ISIL also destroyed the 12th century Bash Tapia Castle in Mosul.
2015-04-12	The Iraqi government declared that Tikrit was free of ISIL forces, stating that it was safe for residents to return home, although it was later revealed that pockets of resistance continued to persist until 17 April. However, many refugees from Tikrit still feared returning to the city, and cleanup operations to remove the 5,000–10,000 IEDs are expected to take at least several months. Additionally, Abu Maria, the top ISIL leader in Tikrit, was killed along with his top aide by Iraqi forces at the Ajeel Oil Field, near Tikrit, who caught the ISIL leaders trying to flee from the city. Also, Wilayat Sinai, a group that has pledged allegiance to ISIL in the Sinai Peninsula, claimed responsibility for a bombing attack in Egypt that killed at least 13 people and wounded dozens more.
2015-04-17	130 ISIL sleeper agents hiding in Tikrit were found and killed by Iraq security forces, which finally ended the Second Battle of Tikrit. Additionally thousands of families fleeing Iraq's western city of Ramadi choked checkpoints leading to Baghdad on Friday, after an Islamic State advance spread panic and left security forces clinging to control. U.S. and Iraqi officials have warned that the city is at risk of falling to the Islamic State despite seven months of airstrikes by U.S. planes in Anbar.
2015-04-18	ISIL's Wilayat Khorasan claimed responsibility for a suicide bombing in Afghanistan on 18 April that killed at least 33 people and injured more than 100, according to a statement believed to be from the movement.
2015-04-19	ISIL produced a video showing the murder by shooting and decapitation of approximately 30 people, who were identified as Ethiopian Christians.
2015-04-20	An 18-year-old boy from New Zealand joins ISIL and is reported missing. New Zealand and Australia are concerned about ISIL-related terrorism at Anzac day. Also, ISIL was defeated in Yarmouk Camp, with the Syrian rebel groups driving the militant organization out of the region.
2015-04-21	It was reported that al-Bagdadi had not yet recovered enough from the injuries he received from an 18 March Coalition airstrike to reassume daily control of ISIL.
2015-04-22	The Iraqi Army regained ground in Ramadi from ISIL forces. Additionally, it was reported that Abu Ala al-Afri, the self-proclaimed Caliph's deputy and a former Iraqi physics teacher, has now been installed as the stand-in leader while Baghdadi recuperates from his injuries.
2015-04-25	A video was released, in which ISIS executioners in the Homs province were shown staging a purported display of sympathy wherein they embrace and forgive two gay men for their sins, before bludgeoning them to death with huge rocks. Additionally, ISIL reportedly shot down a Syrian fighter jet over the As-Suwayda Governorate, with the militant group claiming to have captured the pilot near the Khalkhalah airport. In the southern Kobanî Canton, Kurdish forces and their allies surrounded Sarrin on three sides and started to push into the northern, western, and eastern suburbs of the city after breaching ISIL's defense line, with reports that ISIL militants had retreated to the urban areas of Sarrin. According to at least one source, YPG and FSA forces managed to enter the northern part of Sarrin.
2015-05-01	The Guardian reported that Abu Bakr al-Baghdadi, the leader of ISIL, was recovering in a part of Mosul from severe injuries he received during a March 2015 airstrike. It was reported that due to al-Baghdadi's incapacitation from his spinal injury, he may never be able to resume direct control of ISIL again.
2015-05-05	ISIL claims that it was related to the Curtis Culwell Center attack in Garland, Texas on 3 May. The Chicago Tribune reported that there is a link between the gun used in the militant attack and the Fast and Furious U.S. Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) gunwalking scandal.
2015-05-07	ISIL-backed Taliban forces launched a major offensive against the north-eastern Afghan city of Kunduz, triggering a humanitarian crisis and a wave of fleeing refugees.
2015-05-10	British actor Michael Enright announced by mobile phone to the Daily Mail he had volunteered to fight ISIL.
2015-05-13	(1) ISIL claimed responsibility for the killing of 43 Shia Ismaili Muslims in a bus in Karachi, Pakistan. On the same day, the Iraqi Defense Ministry reported that Abu Alaa Afri, ISIL's Deputy Leader, had been killed in a US-led Coalition airstrike on a mosque in Tel Afar, on 12 May 2015, which also killed dozens of other ISIL militants present. Akram Qirbash, ISIL's top judge, was also killed in the airstrike. ISIL had issued statements in which they vowed to retaliate for al-Baghdadi's injury, which Iraqi forces believed would happen through ISIL attacks in Europe.; (2) The clashes, in Maiduguri, between Boko Haram fighters and the Nigerian army resulted in the death of 27 people in addition of 3 Nigerian soldiers killed in gunfights and 6 vigilantes who were killed and 12 more injured by 3 female bombers. Boko Haram lost 35 members including the suicide bombers.
2015-05-14	An Al-Mourabitoun commander called Adnan Abu Walid Sahraoui pledged the group's allegiance to ISIL, expanding ISIL's area of operation into Mali. The group's founder, Mokhtar Belmokhtar, later issued a statement rejecting Sahraoui's announcement.
2015-05-15	(1) During the night, ISIL militants entered the city of Ramadi, the capital of the Anbar Province, using six near-simultaneous car bombs. ISIL also released an audio tape message, with Abu Bakr al-Baghdadi calling all Muslims to fight against the Iraqi Government, in the Salahuddin, and Al Anbar Provinces, claiming that this is their duty as Muslims. The message breaks the rumors of his death.; (2) U.S. Special Operations forces killed a senior ISIL commander named "Abu Sayyaf" during a raid intended to capture him in Deir ez-Zor, eastern Syria overnight. At least six people from ISIL were killed while no US soldiers were killed.
2015-05-17	ISIL forces captured the city of Ramadi, the former capital of the Islamic State of Iraq, after Iraqi government forces abandoned their posts; more than 500 people were killed.
2015-05-19	Algerian troops ambushed and killed at least 22 militants allied to Islamic State as they held a meeting east of the capital.
2015-05-21	ISIL forces captured the Syrian town of Tadmur and the ancient city of Palmyra, beheading dozens of Syrian soldiers. Two gas fields also fell into ISIL hands. According to the Syrian Observatory for Human Rights, ISIL had by then seized 95,000 square kilometers of land, nearly half of Syria's territory. ISIL also reportedly kidnapped a Syriac Catholic priest, Fr. Jacques Mourad, in the area between Palmyra and Homs.
2015-05-22	(1) Al-Walid, the last border crossing between Syria and Iraq that was held by the Syrian Army, fell to ISIL. ISIL also carried out its first terror attack in Saudi Arabia, when a suicide bomber killed at least 21 people in a Shiite mosque in the city of Qatif.; (2) Abu Maryam al Faransi and Abu Abdul Aziz al Faransi, 2 French ISIS militants, blew up themselves in bomb suicide attack during coordinated assault on the western Iraqi town of Haditha. After the bombings, clashes continued with the Iraqi Security Forces, the Sunni militia Kata’ib al Hamza, and Sunni tribesmen from the Al Jughayfa tribe.
2015-05-23	The eastern front of Kobane countryside witnessed fresh fierce clashes with heavy weapons between militants of the Islamic State and the joint forces YPG and Burkan al-Furat rebels. At least 25 militants were killed and more than 15 others were injured, while one fighter of the joint forces lost his life.
2015-05-26	ISIL militants burned an 80-year-old Assyrian woman to death for "failing to comply with the strict laws of the Islamic State."
2015-05-27	ISIL seizes the Khunayfis phosphate mines 70 kilometres (45 mi) south of Palmyra, depriving the Syrian government of a key source of revenue.
2015-05-28	ISIL claims the seizure of Sirte Airport.
2015-05-30	A suicide bomber has killed at least 16 people at a mosque in the Nigerian city of Maiduguri. Dozens more were wounded in the attack. It follows an overnight assault on the north-eastern city by Boko Haram, in which at least 13 people were killed before troops were able to push back the militants' advance.
2015-05-31	ISIL launched an assault on the Syrian city of Al-Hasakah, with ISIL clashing with Syrian government forces on the southern outskirts, and Kurdish forces announcing their intent to protect their portion of the city. Kurdish forces killed 200-450 ISIL members and captured more than 20 in clashes accused of being ISIL and burned homes of suspected ISIL supporters near Ras al-Ayn and Tell Tamer.
2015-06-01	ISIL begins mandating that male civilians in Mosul wear full beards and imposes harsh punishments for shaving, up to and including beheading.
2015-06-02	ISIL forces close the gates of a dam in Ramadi, shutting off water to Khaldiyah and Habbaniyah.
2015-06-03	ISIL forces in Afghanistan reportedly capture and execute ten militants of the Taliban in the Nangarhar province claimed by the Afghan National Army.
2015-06-07	The Syrian Army reported it repelled an offensive by ISIL on the town of Hasakah. Kurdish forces also seized several villages west of Ras Al Ayn, including al-Jasoum and Sawadieh.
2015-06-10	President Obama authorized the deployment of 450 American advisors to Iraq to help train Iraqi forces in fighting ISIL.
2015-06-13	The Syrian Kurdish YPG militia announced it had begun to move towards the ISIL-controlled border town of Tell Abyad after encircling the town of Suluk 20 km to the southeast.
2015-06-15	(1) A spokesman for Kurdish YPG units announced Syrian Kurdish fighters had taken the town of Tell Abyad from ISIL.; (2) Ali bin Tahar-Al Awni-al Harzi was killed in a drone strike in Mosul, Iraq. He was the brother of the top ISIS leader Tariq bin Tahar-Al-Awni-al-Harzi and not only a top ISIS leader himself, but also a person of interest in the deadly 2012 attack on the U.S. consulate in Benghazi, Libya.
2015-06-16	Tariq bin Tahar-Al-Awni-al-Harzi (A top ISIS leader) was killed in a US airstrike in Syria, one day after his brother.
2015-06-23	A Kurdish YPG spokesman announced the town of Ayn Issa and surrounding villages, located 50 km (30 miles) from Raqqa, were under the militia's "total control". Abu Mohammad al-Adnani announced the expansion of ISIL to Russia's North Caucasus region as a new Wilayat.
2015-06-24	ISIL attacks Kobanî, killing at least 146 people. Kurdish forces and the Syrian government claimed the vehicles had entered the city from across the border, an action denied by Turkey.
2015-06-26	ISIL claims responsibility for the Saint-Quentin-Fallavier attack in which one person was beheaded in France, the bombing of a Shiite mosque in Kuwait City, killing at least 27 people, and the attacks on tourists in Sousse, Tunisia, where 38 people were killed.
2015-06-27	ISIL demolished the ancient statue Lion of al-Lat in Palmyra.
2015-06-29	A senior ISIS commander, named Hesam Tarrad nicknamed Abu Bakr, was executed by the rival militant group, the Al-Nusra Front, in Eastern Lebanon.
2015-06-30	Alaa Saadeh, a 23-year-old resident of West New York, New Jersey, is arrested at his home on charges of conspiring to provide material support to ISIL, and aiding and abetting an attempt to do so. His brother, designated by the United States Department of Justice as Co-Conspirator 1 (CC-1), left the United States on 5 May to join ISIL. Other co-conspirators residing in Fort Lee, New Jersey and Queens, New York were arrested on 13 and 17 June on similar charges, as part of an investigation of a group of individuals from New York and New Jersey that the Department says conspired to provide material support to ISIL.
2015-07-01	A full-scale offensive in Sinai by the Islamic State affiliate began after sunrise with simultaneous assaults on more than a dozen military checkpoints. For hours, as the militants laid siege to the town of Sheikh Zuwaid, Sinai Province even released updates on its progress. The police station was under siege. To finally overcome the militants, the military called in warplanes and helicopters, conducting airstrikes that left the remains of the militants still sitting in their pulverized vehicles, witnesses said. The death toll reached 21 soldiers killed along with 100 of the militants.
2015-07-02	(1) Not less than 22 Ansar Beit Al-Maqdis militants were killed in an air strike launched early Thursday in Rafah, North Sinai, by Egyptian air forces, reported Reuter's Aswat Masriya. Military sources told Aswat Masriya that the 22 militants were killed in the early hours of Thursday (2 July) by an Apache helicopter after information was received on a number of militants who participated in an attack against Egyptian security forces at a checkpoint in Sheikh Zuweid also Thursday (2 July).; (2) Rockets were shot at southern Israel by an ISIS-affiliated group.
2015-07-03	(1) ISIL released a video showing the execution of 25 Syrian regime soldiers on the Palmyra amphitheatre stage.; (2) Coalition forces targeted ISIS positions with 14 air strikes near the cities of Hasakah, Kobane, Aleppo and Tal Abyad, destroying tactical units, fighting positions, vehicles and structures. Some more 9 Air strikes occurred in Irak Near the cities of Al Huwayjah,Fallujah,Makhmur,Mosul,Sinjar.
2015-07-04	(1) Coalition forces conducted 16 airstrikes late Saturday and early Sunday against key ISIS buildings and transit routes in the terror group's stronghold of Raqqa, Syria, a U.S. Army official said.; (2) Valdet Gashi, a former world champion kickboxer who has joined the ranks of the IS, was reportedly killed in Syria. The 29-year-old German of Albanian descent linked up with Islamic State militants in January.; (3) Kurdish fighters of the YPG and allied rebels of Burkan al-Furat were able to gain control of several strategic villages and hills south of Kobane in Aleppo province, Syria. At least 14 IS militants were killed during clashes.
2015-07-05	(1) The Egyptian army has killed 241 militants in North Sinai over the past five days, the army's spokesman said in a statement on Monday. From 1 to 5 July, the army also arrested four wanted terrorists and 29 other suspects. Four militant headquarters were also destroyed, spokesman Mohamed Samir added in a statement on his official Facebook page that also included pictures of the mangled bodies of dead alleged terrorists. The statement added that 26 vehicles used by militants were destroyed, including 11 land cruisers, while 16 bombs, prepared to attack army and police personnel in the peninsula, were made safe. Army personnel confiscated a number of militant weapons, including RPGs, machine guns, mortar shells, and hand grenades.; (2) The Iraqi militia forces have besieged Sinia region in Western Beiji and will attack the ISIL's positions. The militias have blocked the militants’ supply line, and said, "17 vehicles of the ISIL were destroyed in the resistance forces’ attacks on terrorists’ positions. Iraq's Hezbollah Brigades said at least 40 ISIL militants were killed in an operation in the area of Baiji refinery in Salahuddin Province.
2015-07-06	(1) Units of the Syrian army and the armed forces continued to launch wide-scale operations against dens and positions of the militant organizations across the country (Daraa, Aleppo, Damascus countryside and Sweida), killing scores of their members and destroying their arms and vehicles.; (2) ISIS militants have retaken the key Syrian city of Ain Issa from Kurdish forces.; (3) Two IS-led car bomb attacks hit a YPG-held checkpoint in the village Qoblan west of Mabroouka town, one of which was bombed by YPG fighters before reaching its target, but the second hit the checkpoint, causing the death of at least two YPG fighters in the suicide bombing, and the injury of several others along with a number of civilians, including a 9-year-old boy.
2015-07-07	The Syrian Arab Army's 154th Brigade of the 4th Mechanized Division – in coordination with the 104th Airborne Brigade of the Republican Guard, Shaytat Tribesmen (Kata’eb Aswad Al-Sharqiyah), and the National Defense Forces (NDF) – launched a counter-assault at the Al-Liliyah and Al-Nishwa Quarters of Al-Hasakah City, killing scores of enemy combatants from ISIS in the process. Among the ISIS casualties there was the ISIS field commander of operations in Al-Hasakah City, "Abu Qatada Al-Leebi" (Libyan) – he is believed to be the highest ranking ISIS casualty that has been reported during this battle.
2015-07-08	(1) At least 45 Isis militants have allegedly been killed after eating a poisoned meal. According to reports, around 145 people sat down to eat the ‘iftar’ – the meal which breaks the daily Ramadan fast – in Mosul, Iraq. But only 100 walked away alive. It is suggested that the food was poisoned, although it is not yet known if it was deliberate or accidental.; (2) At least 15 senior militants from ISIS were killed in the city of Hit in the Iraqi province of Anbar, as a result of an attack by the U.S.-led coalition's warplanes during a meeting held by leading members. The bombing killed 15 IS leading members and wounded the group's financial and administrative officer in Anbar, Salah al-Zein Najim, cousin of the so-called IS Minister of War, Adnan Ismail Najim.
2015-07-09	Mawlawi Shahedullah Shahed, a senior ISIS commander was killed in an air strike in Achin district, Nengarhar, Afghanistan. The IS leader was killed in the same strike with the group's "number two" – the head of military operations – Gol Zaman, according to the Afghan intelligence agency. Shahid was a former member of the Pakistani Taliban, he was ousted from the group in October 2014, and was one of the first to pledge allegiance to IS in Afghanistan.
